Name,Location,Paid Staff (#),Volunteers (#),Year Founded,Funding Bodies,Website,Genre,Physical address,Latitude,Longitude
The Beatles' Story,"Liverpool, UK",X,,?,Mersey Travel,http://www.beatlesstory.com/beatles-story,Rock N Roll,"Albert Dock, Britannia Vaults, Albert Dock, Liverpool, L3 4AD",53.3993917,-2.9913814
The Big House - The Allman Brothers Band Museum,"Macon, Georgia, US",X,X,1994,Donations,"http://www.thebighousemuseum.com/

https://www.facebook.com/TheBigHouseMuseum","Rock, Blues","The Big House Museum, 2321 Vineville Ave, Macon, GA 31204",32.8460043,-83.6558957
The Callaway Centre Archive,"Perth, Australia",X,,1988,"University of Western Australia

Frank Callaway Foundation",http://www.callaway.uwa.edu.au/,All,"The Callaway Centre, School of Music, M413, The University of Western Australia, 35 Stirling Highway, CRAWLEY WA 6009 ",-31.986,115.822
The Contemporary Music Centre,"Dublin, Ireland",11,,2000,The Arts Council Ireland,http://www.cmc.ie/,Contemporary Classical,"19 Fishamble Street, Temple Bar, Dublin 8",53.3441725,-6.2695318
The Cornell Hip Hop Collection,"Ithaca, NY, USA",X,,1999,Cornell University,"http://rmc.library.cornell.edu/hiphop/

https://www.facebook.com/HipHopCollectionCU/info?tab=page_info",Hip Hop,"Level 2B, Kroch Library, Cornell University, Ithaca, New York 14853",42.4467049,-76.4830579
The E. Azalia Hackley Collection,"Detroit, Michigan, US",X,,1943,Detroit Public Library,http://thehackley.org/,African American,"Detroit Public Library
5201 Woodward Ave.
Detroit, MI 48202",42.358381,-83.0670677
The Glinka National Museum Consortium of Music Culture,"Moscow, Russia",X,,1912,Federal Government,"http://www.russianmuseums.info/M305

http://www.glinka.museum/","All Music, Russian music","125047, Moscow, Fadeeva str., 4",55.774488,37.599735
The Grammy Museum Archives,"Los Angeles, California, US",X,,2008,Iron Mountain,http://www.grammymuseum.org/home,Popular Music,"800 W. Olympic Blvd., Los Angeles",34.0448196,-118.2653836
The Lewis Museum,"Ferrida, Louisiana, US",,,,,http://www.lindagaillewisanniemariedolan.com/LewisFamilyMuseum.html,Rock N Roll,"712 Louisiana Avenue, Ferriday, Louisiana",31.6299594,-91.5586207
The Los Angeles Punk Rock Museum,"Los Angeles, USA",,,2011,,"http://www.facebook.com/Tequilatattoo

http://www.lapunkmuseum.com/",Punk,"7190 Sunset Blvd, Los Angeles, California 90046",34.0977169,-118.3468353
The Louis Round Wilson Special Collections Library: Southern Folklife Collection,"Chapel Hill, North Carolina, US",5,,1989,Wilson Library University of North Carolina,http://www2.lib.unc.edu/wilson/sfc/,"old-time, country-western, hillbilly, bluegrass, blues, folk, gospel, rock and roll, Cajun and zydeco musics","The Wilson Library, CB #3926, UNC-Chapel Hill",35.9111663,-79.0547442
The Museum of Club Culture,"Hull, UK",,,2010,, http://www.museumofclubculture.blogspot.com/,Dance,,,
The Musical Museum,"London, England",,X,1964,,"http://www.musicalmuseum.co.uk/

https://www.facebook.com/TheMusicalMuseum/timeline",,"399 High Street, Brentford, TW8 0DU",51.487832,-0.2931374
The National Band Association (Hall of Fame),"Troy, Alabama, US",X,,1980,Troy University,"http://www.nationalbandassociation.org/

http://www.nationalbandassociationhalloffame.org/directory/Index.php",Concert Band,"Troy University
Hawkins-Adams-Long Hall of Honor
600 University Ave, Troy, AL 36082",31.7981184,-85.9554251
The National Jazz Museum in Harlem,"New York, USA",11,X,1997,"Smithsonian Institute
Harlem Arts Alliance
National Endowment for the Arts
New York State Council on the Arts
New York City Department of Cultural Affairs

Various foundations and corporate sponsors",http://www.jazzmuseuminharlem.org,Jazz,"104 E. 126th Street, New York, NY 10035",40.8052821,-73.9380119
The National Library of Israel; National Sound Archives,"Jerusalem, Israel",10,,1892,The National Library of Israel,http://web.nli.org.il/sites/nli/english/music/Pages/default.aspx,Traditional,"The National Library of Israel, Edmond J. Safra Campus, Givat Ram, POB 39105 Jerusalem, Israel",31.768319,35.21371
The New Orleans Jazz & Heritage Festival and Foundation,"New Orleans, Louisiana, USA",10,X,1970,,http://www.jazzandheritage.org,Jazz,"1205 N. Rampart Street, New Orleans, Louisiana 70116",29.9648369,-90.0648548
Popular Music: Audio and visual collecionts - The British Library,"London, UK",X,,,,http://www.bl.uk/reshelp/findhelprestype/sound/popular/popmusic.html,Popular music,"St Pancras
96 Euston Road
London
NW1 2DB
United Kingdom

Boston Spa
Wetherby
West Yorkshire
LS23 7BQ
UK",51.5297852,-0.1273748
The Rock and Roll Hall of Fame and Museum,"Cleveland, Ohio, USA",X,X,1995,"Cuyahoga Arts and Culture

Various corporate sponsors","http://rockhall.com

https://www.facebook.com/rockandrollhalloffame",USA music,"1100 Rock and Roll Blvd, Cleveland, OH 44114",41.5085183,-81.6955058
The Vocal Group Hall of Fame Foundation,"Sharon, Pennsylvania, US",,,1997,,http://www.vocalgroup.org/,Vocal music,"82 west state street, Sharon, PA 16146",41.2328694,-80.5105823
Tonlistarsafn Islands,"Kopavogur, Iceland",,,2009,Ministry of Education,http://www.tonlistarsafn.is/,All,"Tónlistarsafn Íslands, Hábraut 2, 200 Kópavogur",64.1125675,-21.9100803
Tower Records Project,"Sacramento, California, USA",X,,2009,"Centre for Sacramento History

City of Sacramento

Various corporate and private sponsors",http://towerrecordsproject.org,Popular Music,no physical address given,38.734253,-81.7334635
US 23 Country Music Highway Museum,"Paintsville, Kentucky, US",,,2005,,"http://www.visitpaintsvilleky.com/23-home/

https://www.facebook.com/pages/US-23-Country-Music-Highway-Museum/103432356377801
",country music,"US 23 Country Music Highway Museum
P.O. Box 809
120 Staves Branch Road
Paintsville, KY 41240",37.8602021,-82.7225201
Vaughan Williams Memorial Library,"London, UK",26,X,1930,"The National Lottery
Heritage Lottery Fund",http://www.vwml.org/,National Folk Music,"2 Regent's Park Road, London. UK. NW1 7AY.",51.5379057,-0.1494324
Willie Nelson and Friends Museum and General Store,"Nashville, Tennessee, US",,,1979,,http://www.willienelsongeneralstore.com/,country music,"2613 McGavock Pike Nashville, Tennessee 37214",36.2176999,-86.6979267
Woody Guthrie Archive for the collection,"Mount Kisko, New York (closed) / Tulsa, Oklahoma",,,2001,,http://www.woodyguthrie.org/programs.htm,Folk songs,"Woody Guthrie Publications, Inc. | 125-131 E. Main Street, Suite #201 | Mt. Kisco, NY 10549",41.205493,-73.726913
Yonge Street Stories,"Toronto, Canada",,,2011,,https://www.facebook.com/yongestreet/timeline,All,,,
"ARChive of Contemporary Music, The ","New York, USA",3,32 (2013-2014),1985,"Gracenote
The Internet Archive
Columbia University Library",http://arcmusic.org/,All,"54 White Street, New York NY 10013 USA",40.7185579,-74.0037174
National Jazz Archive,"Loughton, UK",Y,Y,1988,"Essex County Council
Heritage Lottery Fund",http://www.nationaljazzarchive.co.uk,Jazz,"Loughton Library, Traps Hill
Loughton
IG10 1HD",51.649265,0.059195
Sarasota Music Archive,"Sarasota, Florida, US",none,50+,1980,Sarasota County Library,http://www.sarasotamusicarchive.org/,"classical, opera, jazz, popular, folk, and international music","2nd floor of the Selby Public Library at 1331 First Street, downtown Sarasota",27.3364347,-82.5306527
Tonlistarsafn Islands,"Kopavogur, Iceland",,,2009,Ministry of Education,http://www.tonlistarsafn.is/,All,"Tónlistarsafn Íslands, Hábraut 2, 200 Kópavogur",64.1125675,-21.9100803
